architecture,parameters,runs,validation_pr_auc_mean,validation_pr_auc_std,validation_f1_mean,validation_f1_std,best_validation_loss_mean,best_epoch_mean,runtime_seconds_mean
16,145,3,0.990773624140996,0.0008057152826386499,0.9690032302533685,0.000295642562532565,0.05049590269724528,99.66666666666667,5.990551360666667
32-16,801,3,0.9916666248916899,0.00020494075032199881,0.9693446088794926,0.0,0.049799032509326935,47.333333333333336,3.871688902666669
64-32,2625,3,0.9916891479085184,0.0002685205302575186,0.9689812542554416,0.0003146743350106595,0.048069835950930916,32.0,3.1980571810000007
