optimizer,learning_rate,runs,validation_pr_auc_mean,validation_pr_auc_std,validation_f1_mean,validation_f1_std,best_validation_loss_mean,best_epoch_mean,runtime_seconds_mean
Adam,0.001,3,0.9916666248916899,0.00020494075032199881,0.9693446088794926,0.0,0.049799032509326935,47.333333333333336,3.598588055666667
SGD,0.01,3,0.9897873482397214,2.8174605357940277e-05,0.9639110701744692,0.001054097117123287,0.06164650494853655,100.0,5.294015889000001
