bin,samples,mean_predicted_score,observed_positive_rate,brier_score_overall
0,4149,0.006818411638286835,0.0,0.01219838454715033
1,11,0.16852818700400266,0.09090909090909091,0.01219838454715033
2,83,0.27856151490326386,0.10843373493975904,0.01219838454715033
3,166,0.35401220547865675,0.19879518072289157,0.01219838454715033
4,57,0.41049680322931525,0.12280701754385964,0.01219838454715033
6,2,0.6275642514228821,0.0,0.01219838454715033
7,2,0.7357639372348785,0.0,0.01219838454715033
8,2,0.8453740775585175,0.5,0.01219838454715033
9,1060,0.9973555912386697,0.9886792452830189,0.01219838454715033
