optimizer,learning_rate,seed,epochs_ran,best_epoch,best_validation_loss,runtime_seconds,samples,positive_samples,negative_samples,predicted_positive,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,pr_auc,roc_auc
Adam,0.001,42,75,67,0.049979764968156815,4.6270972079999995,5360,965,4395,927,0.9891791044776119,0.9739918772509977,0.9892125134843581,0.950259067357513,0.9693446088794926,4385,10,48,917,0.991832712743328,0.9981084251416176
Adam,0.001,43,51,43,0.04737962782382965,3.340771084,5360,965,4395,927,0.9891791044776119,0.9739918772509977,0.9892125134843581,0.950259067357513,0.9693446088794926,4385,10,48,917,0.9914375952463766,0.9979943058232683
Adam,0.001,44,40,32,0.05203770473599434,2.827895875000001,5360,965,4395,927,0.9891791044776119,0.9739918772509977,0.9892125134843581,0.950259067357513,0.9693446088794926,4385,10,48,917,0.991729566685365,0.9980787163934522
SGD,0.01,42,100,100,0.061796966940164566,5.293246292000003,5360,965,4395,940,0.9867537313432836,0.9725129238949113,0.975531914893617,0.950259067357513,0.9627296587926509,4372,23,48,917,0.9898120861800973,0.9974446939822101
SGD,0.01,43,100,100,0.06047382205724716,5.281676000000001,5360,965,4395,937,0.9873134328358208,0.9728542208232389,0.9786552828175027,0.950259067357513,0.964248159831756,4375,20,48,917,0.9897932777425994,0.9974397425241825
SGD,0.01,44,100,100,0.06266872584819794,5.307125374999998,5360,965,4395,936,0.9875,0.9729679864660148,0.9797008547008547,0.950259067357513,0.9647553918990005,4376,19,48,917,0.9897566807964675,0.9974333763638614
