architecture,hidden_units,seed,parameters,epochs_ran,best_epoch,best_validation_loss,runtime_seconds,samples,positive_samples,negative_samples,predicted_positive,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,pr_auc,roc_auc
16,[16],42,145,100,100,0.048501547425985336,5.894619833,5360,965,4395,928,0.9889925373134328,0.9738781116082218,0.9881465517241379,0.950259067357513,0.9688325409403064,4384,11,48,917,0.9899582404130562,0.9974777037023937
16,[16],43,145,100,100,0.050163302570581436,5.837094457999999,5360,965,4395,927,0.9891791044776119,0.9739918772509977,0.9892125134843581,0.950259067357513,0.9693446088794926,4385,10,48,917,0.9915693097534152,0.9980256650574427
16,[16],44,145,100,99,0.05282285809516907,6.239939791000001,5360,965,4395,928,0.9889925373134328,0.9738781116082218,0.9881465517241379,0.950259067357513,0.9688325409403064,4384,11,48,917,0.9907933222565165,0.9977450824358816
32-16,"[32, 16]",42,801,75,67,0.049979764968156815,4.926254749999998,5360,965,4395,927,0.9891791044776119,0.9739918772509977,0.9892125134843581,0.950259067357513,0.9693446088794926,4385,10,48,917,0.991832712743328,0.9981084251416176
32-16,"[32, 16]",43,801,51,43,0.04737962782382965,3.606354333000006,5360,965,4395,927,0.9891791044776119,0.9739918772509977,0.9892125134843581,0.950259067357513,0.9693446088794926,4385,10,48,917,0.9914375952463766,0.9979943058232683
32-16,"[32, 16]",44,801,40,32,0.05203770473599434,3.0824576250000035,5360,965,4395,927,0.9891791044776119,0.9739918772509977,0.9892125134843581,0.950259067357513,0.9693446088794926,4385,10,48,917,0.991729566685365,0.9980787163934522
64-32,"[64, 32]",42,2625,36,28,0.04727500304579735,2.9618152920000043,5360,965,4395,927,0.9891791044776119,0.9739918772509977,0.9892125134843581,0.950259067357513,0.9693446088794926,4385,10,48,917,0.9913834534895273,0.9979794514491857
64-32,"[64, 32]",43,2625,39,31,0.04513730853796005,3.252659958999999,5360,965,4395,926,0.9889925373134328,0.9734737425359717,0.9892008639308856,0.9492227979274611,0.9687995769434162,4385,10,49,916,0.9917970900312405,0.9980895624443697
64-32,"[64, 32]",44,2625,45,37,0.05179719626903534,3.3796962919999984,5360,965,4395,926,0.9889925373134328,0.9734737425359717,0.9892008639308856,0.9492227979274611,0.9687995769434162,4385,10,49,916,0.9918869002047871,0.998122807948269
