split,threshold,samples,positive_samples,negative_samples,predicted_positive,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,pr_auc,roc_auc
train,0.7,22628,6291,16337,6104,0.9873165989040127,0.9796332982852904,0.9918086500655308,0.9623271340009537,0.9768455022186365,16287,50,237,6054,0.9946301218082616,0.9968857049180525
validation,0.7,5360,965,4395,927,0.9891791044776119,0.9739918772509977,0.9892125134843581,0.950259067357513,0.9693446088794926,4385,10,48,917,0.991832712743328,0.9981084251416176
test,0.7,5532,1099,4433,1064,0.9882501807664498,0.9755601907851754,0.9859022556390977,0.9545040946314831,0.9699491447064262,4418,15,50,1049,0.9937619131618993,0.998350324423881
