epoch,loss,pr_auc,precision,recall,val_loss,val_pr_auc,val_precision,val_recall
0,0.5039854645729065,0.8308835625648499,0.833369791507721,0.6057860255241394,0.19000285863876343,0.9904298782348633,0.9015594720840454,0.9585492014884949
1,0.14021705090999603,0.9880743026733398,0.9746418595314026,0.9408679008483887,0.07853464037179947,0.9905670881271362,0.9662802815437317,0.9502590894699097
2,0.08997873216867447,0.9904735684394836,0.9754271507263184,0.9527897238731384,0.06799343973398209,0.9905635118484497,0.9652631282806396,0.9502590894699097
3,0.07963691651821136,0.9909371137619019,0.9777705669403076,0.9578763246536255,0.06439803540706635,0.9905134439468384,0.9652631282806396,0.9502590894699097
4,0.07556664943695068,0.9909536838531494,0.9786027073860168,0.9596248865127563,0.06261111795902252,0.9905081987380981,0.9642481803894043,0.9502590894699097
5,0.07353634387254715,0.991074800491333,0.9792544841766357,0.9604196548461914,0.061670418828725815,0.9905091524124146,0.9642481803894043,0.9502590894699097
6,0.07227851450443268,0.991303026676178,0.979581892490387,0.9608964920043945,0.06085306406021118,0.9906026721000671,0.9652631282806396,0.9502590894699097
7,0.07136425375938416,0.9913272857666016,0.9794365167617798,0.9615323543548584,0.0599476583302021,0.9906183481216431,0.9642481803894043,0.9502590894699097
8,0.07056678086519241,0.9913643598556519,0.9796017408370972,0.9618502855300903,0.05923915281891823,0.9906109571456909,0.9632353186607361,0.9502590894699097
9,0.06986554712057114,0.9915295839309692,0.9792947173118591,0.9623271226882935,0.05865420028567314,0.9895449876785278,0.9632353186607361,0.9502590894699097
10,0.06918593496084213,0.991653561592102,0.9792947173118591,0.9623271226882935,0.058117419481277466,0.9895370006561279,0.9632353186607361,0.9502590894699097
11,0.06850701570510864,0.9917925000190735,0.9794564843177795,0.9624860882759094,0.05752835050225258,0.9895379543304443,0.9632353186607361,0.9502590894699097
12,0.06787392497062683,0.991857647895813,0.9793014526367188,0.9626450538635254,0.056956369429826736,0.9895415306091309,0.9632353186607361,0.9502590894699097
13,0.0672767162322998,0.9919715523719788,0.9793047904968262,0.9628040194511414,0.05640357732772827,0.9895445704460144,0.9632353186607361,0.9502590894699097
